,"(Also Known As..., Alias)","(Audio, Audio brand)","(Audio, Speakers)","(Audio, Subwoofer)","(Audio, Surround sound)","(Basic Specs, 3D enabled)","(Basic Specs, Base discrete GPU brand)","(Basic Specs, CPU brand)","(Basic Specs, CPU family)","(Basic Specs, Carrier options)","(Basic Specs, Graphics type)","(Basic Specs, Integrated GPU model)","(Basic Specs, Laptop type)","(Basic Specs, Operating system)","(Basic Specs, Optical drive type)","(Basic Specs, Screen size (diagonal))","(Basic Specs, The Verge Battery Test)","(Basic Specs, Thickness)","(Basic Specs, Touch technology)","(Basic Specs, Weight)","(Battery, Chemistry)","(Battery, Quoted time)","(Battery, Removable)","(Battery, Size)","(Benchmarks, 3DMark06 (GPU))","(Benchmarks, 3DMark06 (IGP))","(Benchmarks, 3DMark11 (GPU))","(Benchmarks, 3DMark11 (IGP))","(Benchmarks, 3DMarkVantage (GPU))","(Benchmarks, 3DMarkVantage (IGP))","(Benchmarks, GeekBench)","(Benchmarks, HAWX)","(Benchmarks, Just Cause 2)","(Benchmarks, PCMarkVantage)","(Benchmarks, The Verge Battery Test)","(Benchmarks, The Verge Battery Test (extended battery))","(Benchmarks, XBench)","(Bundled Accessories, Bundled Accessories)","(Connectivity, 3G)","(Connectivity, 4G)","(Connectivity, 802.11n frequencies)","(Connectivity, Bluetooth)","(Connectivity, Bluetooth version)","(Connectivity, CDMA)","(Connectivity, Carrier options)","(Connectivity, GPS)","(Connectivity, GSM)","(Connectivity, LTE)","(Connectivity, NFC)","(Connectivity, Other carrier options)","(Connectivity, WWAN data standards supported)","(Connectivity, Wi-Fi)","(Connectivity, Wi-Fi options)","(Connectivity, WiMAX)","(Connectivity, Wireless video)","(Display (base), 3D enabled)","(Display (base), Backlight)","(Display (base), Display surface)","(Display (base), Multitouch)","(Display (base), PPI)","(Display (base), Resolution (X))","(Display (base), Resolution (Y))","(Display (base), Screen size (diagonal))","(Display (base), Technology)","(Display (base), Touch technology)","(Display (max), 3D enabled)","(Display (max), Backlit)","(Display (max), Multitouch)","(Display (max), PPI)","(Display (max), Resolution (X))","(Display (max), Resolution (Y))","(Display (max), Size (diagonal))","(Display (max), Technology)","(Display (max), Touch technology)","(GPU (base), Base discrete GPU brand)","(GPU (base), Dedicated VRAM size)","(GPU (base), Discrete GPU model)","(GPU (base), Graphics type)","(GPU (base), Integrated GPU brand)","(GPU (base), Integrated GPU model)","(GPU (base), SLI / Crossfire)","(GPU (max), Dedicated VRAM size)","(GPU (max), Discrete GPU brand)","(GPU (max), Discrete GPU model)","(GPU (max), Integrated GPU brand)","(GPU (max), Integrated GPU model)","(GPU (max), SLI / Crossfire)","(Hardware, Color)","(Hardware, Depth)","(Hardware, Laptop type)","(Hardware, Thickness)","(Hardware, Weight)","(Hardware, Width)","(Keyboard, Backlit)","(Keyboard, Number pad)","(Keyboard, Type)","(Memory, Base RAM size)","(Memory, Base RAM speed)","(Memory, Max. config RAM size)","(Memory, RAM slots)","(Memory, RAM type)","(Mouse, Multitouch)","(Mouse, Multitouch points)","(Mouse, Type(s))","(Optical Drive, Compatible media)","(Optical Drive, Optical drive type)","(Port options, 3.5mm digital optical audio (S/PDIF))","(Port options, 3.5mm headphone)","(Port options, 3.5mm line-in / microphone)","(Port options, 3.5mm mic / headphone combo)","(Port options, Card slot(s))","(Port options, Combo eSATA / USB)","(Port options, DVI)","(Port options, Digital optical audio (S/PDIF))","(Port options, DisplayPort)","(Port options, DisplayPort++)","(Port options, Docking connector)","(Port options, Ethernet)","(Port options, Ethernet type)","(Port options, FireWire 400)","(Port options, FireWire 800)","(Port options, HDMI)","(Port options, HDMI input(s))","(Port options, Micro DVI)","(Port options, Micro HDMI)","(Port options, Mini DVI)","(Port options, Mini DisplayPort)","(Port options, Mini HDMI)","(Port options, Mini VGA)","(Port options, Other)","(Port options, Proprietary (data))","(Port options, Thunderbolt)","(Port options, USB)","(Port options, USB 3.0)","(Port options, VGA)","(Port options, eSATA)","(Processor (base), CPU brand)","(Processor (base), CPU family)","(Processor (base), Clockspeed)","(Processor (base), Cores)","(Processor (base), Model)","(Processor (base), Turbo clockspeed)","(Processor (max), Brand)","(Processor (max), Clockspeed)","(Processor (max), Cores)","(Processor (max), Family)","(Processor (max), Model)","(Processor (max), Turbo clockspeed)","(Reference, Brand)","(Reference, Name)","(Reference, url)","(Security, Trusted platform module)","(Sensors, Accelerometer)","(Sensors, Ambient light)","(Sensors, Biometric scanner)","(Sensors, Proximity )","(Software, Notable apps)","(Software, Operating system)","(Storage, Base drive capacity)","(Storage, Base drive type)","(Storage, Card reader)","(Storage, Card reader support)","(Storage, Max. config HDD)","(Storage, Max. config Hybrid)","(Storage, Max. config SSD)","(Storage, Options)","(Webcam, Effective pixels)","(Webcam, Video framerate)","(Webcam, Video resolution)"
Satellite C655D,"C655D-S5124, C655D-S5120",,2,,,,,AMD,,,Integrated,Radeon HD 6310,Budget,Windows 7,,15.6 inches,,,,5.5 pounds,Lithium Ion (Li-Ion),6.05 min,,48 Wh,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,,,,,1366 px,768 px,15.6 inches,LCD,,,,,,,,,,,,,,Integrated,AMD,Radeon HD 6310,,,,,AMD,Mobility Radeon HD 4250,,Black,,Budget,,5.5 pounds,,,Yes,Standard,2 GB,,4 GB,,DDR3,,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100,,,,,,,,,,,,,,2,,1,,AMD,,,,E-240,,AMD,,2,,Athlon II P340,,Toshiba,Satellite C655D,http://www.theverge.com/products/satellite-c655d/786,,,,,,,Windows 7,250 GB,HDD (5400RPM),Yes,,320 GB,,,HDD (5400RPM),,,
NV59C,,,2,,,,,Intel,Arrandale,,Integrated,HD Graphics,Mainstream,Windows 7,,15.6 inches,,1.34 inches,,5.84 pounds,Lithium Ion (Li-Ion),,Yes,4400 mAh,,,,,,,,,,,,,,,,,,No,None,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,,,15.6 inches,LCD,,,,,,1366 px,768 px,,,,,,,Integrated,Intel,HD Graphics,,,,,,,,,10 inches,Mainstream,1.34 inches,5.84 pounds,15 inches,,,Standard,4 GB,,8 GB,2,DDR3,Yes,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,,1,,Intel,Arrandale,2 GHz,2,Pentium P6100,,Intel,2.66 GHz,2,Arrandale,Core i5-480M,,Gateway,NV59C,http://www.theverge.com/products/nv59c/785,,,,,,,Windows 7,320 GB,HDD (5400RPM),Yes,"SD, Memory Stick, xD, MMC",640 GB,,,HDD (5400RPM),,,
Satellite L675D,"L675D-S7100, L675D-S7107",,2,,,,,AMD,,,Integrated,Mobility Radeon HD 4250,Mainstream,Windows 7,,17.3 inches,,,,0.01 pounds,Lithium Ion (Li-Ion),3.73 hr,,48 Wh,,,,,,,,,,,,,,,,,,No,None,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1600 px,900 px,17.3 inches,LCD,,,,,,,,,,,,,,Integrated,ATI,Mobility Radeon HD 4250,,,,,,,,Black,,Mainstream,,0.01 pounds,,,Yes,Standard,4 GB,1066 MHz,,,DDR3,Yes,,Trackpad,"DVD Super Multi, BD Combo",,,1,1,,,1,,,,,,1,10/100,,,1,,,,,,,,,,,2,,,,AMD,,,2,Athlon II P340,,AMD,,2,,Phenom II N660,,Toshiba,Satellite L675D,http://www.theverge.com/products/satellite-l675d/784,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,,500 GB,,,HDD (5400RPM),,,
NV75S02u,,,2,,,,AMD,AMD,,,Discrete,,"Mainstream, Desktop replacement",Windows 7,,17.3 inches,,1.36 inches,,7.28 pounds,Lithium Ion (Li-Ion),4 hr,Yes,4400 mAh,,,,,,,,,,,,,,,,,,Yes,None,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,1680 px,1050 px,17.3 inches,LCD,,,,,,,,,,,AMD,,Radeon HD 6620G,Discrete,,,,,,,,,,Black,10.83 inches,"Mainstream, Desktop replacement",1.36 inches,7.28 pounds,16.33 inches,,Yes,Chiclet,4 MB,1066 MHz,,2,DDR3,Yes,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,,1,,AMD,,1.5 GHz,4,A8-3500M,,,,,,,,Gateway,NV75S02u,http://www.theverge.com/products/nv75s02u/783,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,"SD, Memory Stick, xD, MMC",,,,HDD (5400RPM),,,
Satellite L745D,"L745D-S4220, L745D-S4230",,2,,,,,AMD,,,Integrated,Mobility Radeon HD 6310,Mainstream,Windows 7,,14 inches,,,,5 pounds,Lithium Ion (Li-Ion),4.98 hr,,48 Wh,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,,,Integrated,AMD,Mobility Radeon HD 6310,,,,,AMD,Radeon HD 6520G,,"Silver / Black, Blue / Black",,Mainstream,,5 pounds,,,No,Standard,4 GB,1333 MHz,,,DDR3,,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100,,,1,,,,,,,,,,,3,,,,AMD,,,,E-350,,AMD,,4,,A6-3400M,,Toshiba,Satellite L745D,http://www.theverge.com/products/satellite-l745d/782,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,,640 GB,,,HDD (5400RPM),,,
Satellite L755D,"L755D-S5227, L750D-ST4N01",,2,,,,,AMD,,,Integrated,Radeon HD 6480G,Budget,Windows 7,,15.6 inches,,,,5.48 pounds,Lithium Ion (Li-Ion),4.92 hr,,48 Wh,,,,,,,,,,,,,,,,,,Optional,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1366 px,768 px,15.6 inches,LCD,,,,,,,,,,,,,,Integrated,AMD,Radeon HD 6480G,,,,,AMD,Radeon HD 6520G,,Silver / Black,,Budget,,5.48 pounds,,,Yes,Standard,4 GB,1333 MHz,,,DDR3,,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100,,,1,,,,,,,,,,,3,,1,,AMD,,,2,A4-3300M,,AMD,,4,,A6-3400M,,Toshiba,Satellite L755D,http://www.theverge.com/products/satellite-l755d/781,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,,640 GB,,,HDD (5400RPM),,,
Satellite L775D,"L775D-S7224, L770D-ST4N01",,2,,,,,AMD,,,Integrated,Radeon HD 6520G,Mainstream,Windows 7,,17.3 inches,,,,6.2 pounds,Lithium Ion (Li-Ion),5.12 hr,,48 Wh,,,,,,,,,,,,,,,,,,Optional,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1600 px,900 px,17.3 inches,LCD,,,,,,,,,,,,,,Integrated,AMD,Radeon HD 6520G,,,,,,,,Silver / Black,,Mainstream,,6.2 pounds,,,Yes,Standard,4 GB,1333 MHz,,,DDR3,,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100,,,1,,,,,,,,,,,3,,1,,AMD,,,4,A6-3400M,,,,,,,,Toshiba,Satellite L775D,http://www.theverge.com/products/satellite-l775d/780,,,,,,,Windows 7,500 GB,,Yes,,640 GB,,,HDD (5400RPM),,,
Satellite R845,Satellite R845-S80,,,,,,,Intel,,,Integrated,HD Graphics,Mainstream,Windows 7,Tray-loading,14 inches,,,,4.19 pounds,Lithium Ion (Li-Ion),10.1 hr,,66 Wh,,,,,,,,,,,,,,,,,,No,None,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics,,,,,,,,Blue / Black,,Mainstream,,4.19 pounds,,No,No,Chiclet,4 GB,,,,,Yes,,Trackpad,DVD Super Multi,Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,1,1,,1,Intel,,2.1 GHz,2,Core i3-2310M,,,,,,,,Toshiba,Satellite R845,http://www.theverge.com/products/satellite-r845/779,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,,,,,HDD (5400RPM),,,
Satellite P745D,P745D-S4240,,2,,,,,AMD,,,Integrated,Radeon HD 6520G,Mainstream,Windows 7,,14 inches,,,,5.4 pounds,Lithium Ion (Li-Ion),5.96 hr,,48 mAh,,,,,,,,,,,,,,,,,,Yes,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,,,Integrated,AMD,Radeon HD 6520G,,,,,,,,Black,,Mainstream,,5.4 pounds,,Yes,No,Chiclet,6 GB,1333 MHz,,,DDR3,,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100,,,1,,,,,,,,,,,3,,1,,AMD,,,4,A6-3400M,,,,,,,,Toshiba,Satellite P745D,http://www.theverge.com/products/satellite-p745d/778,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,,,,,HDD (5400RPM),,,
NV77H05u,,,2,,,,,Intel,Sandy Bridge,,,HD Graphics 3000,"Mainstream, Desktop replacement",Windows 7,,17.3 inches,,0.05 inches,,7.28 pounds,Lithium Ion (Li-Ion),4 hr,Yes,4400 mAh,,,,,,,,,,,,,,,,,,No,None,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,,,17.3 inches,LCD,,,,,,1680 px,1050 px,,,,,,,,Intel,HD Graphics 3000,,,,,,,,Red / Black,10.83 inches,"Mainstream, Desktop replacement",0.05 inches,7.28 pounds,16.33 inches,,Yes,Chiclet,6 GB,1066 MHz,,2,DDR3,Yes,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,,1,,Intel,Sandy Bridge,2.1 MHz,2,Core i3-2310M,,,,,,,,Gateway,NV77H05u,http://www.theverge.com/products/nv77h05u/777,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,"SD, Memory Stick, xD, MMC",,,,HDD (5400RPM),,,
Satellite P755D,P755D-S5266,harman/kardon,2,,,,,AMD,,,Integrated,Radeon HD 6520G,Mainstream,Windows 7,,15.6 inches,,,,5.8 pounds,Lithium Ion (Li-Ion),6.46 hr,,48 Wh,,,,,,,,,,,,,,,,,,Yes,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,15.6 inches,LCD,,Yes,,,,1366 px,768 px,,LCD,,,,,Integrated,AMD,Radeon HD 6520G,,,,,,,,Gray / Black,,Mainstream,,5.8 pounds,,Yes,Yes,Chiclet,6 GB,1333 MHz,,,DDR3,Yes,,Trackpad,BD Combo,,,1,1,,,,,,,,,1,10/100,,,1,,,,,,,,,,,4,,1,,AMD,,,4,A6-3400M,,,,,,,,Toshiba,Satellite P755D,http://www.theverge.com/products/satellite-p755d/776,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,,,,,HDD (5400RPM),,,
Satellite P775D,P775D-S7230,harman/kardon,2,,,,,AMD,,,Integrated,,Mainstream,Windows 7,,17.3 inches,,,,0.01 pounds,Lithium Ion (Li-Ion),4.18 hr,,48 Wh,,,,,,,,,,,,,,,,,,Yes,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1600 px,900 px,17.3 inches,LCD,,,,,,,,,,,,,,Integrated,,,,,,,,,,Gray / Black,,Mainstream,,0.01 pounds,,,Yes,Chiclet,6 GB,1333 MHz,,,DDR3,,,Trackpad,"DVD Super Multi, BD Combo",,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,1,1,,AMD,,,4,A6-3400M,,,,,,,,Toshiba,Satellite P775D,http://www.theverge.com/products/satellite-p775d/775,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,,750 GB,,,HDD (5400RPM),,,
NV79C54u,,,,,,,,Intel,Arrandale,,,HD Graphics,"Mainstream, Desktop replacement",Windows 7,,17.3 inches,,1.35 inches,,7.27 pounds,Lithium Ion (Li-Ion),3.6 hr,Yes,4400 mAh,,,,,,,,,,,,,,,,,,No,None,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,1366 px,768 px,17.3 inches,LCD,,,,,,,,,,,,,,,Intel,HD Graphics,,,,,,,,Black,10.8 inches,"Mainstream, Desktop replacement",1.35 inches,7.27 pounds,16.3 inches,,Yes,Chiclet,4 GB,,,2,DDR3,Yes,,Trackpad,DVD±R/RW,,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,,1,,Intel,Arrandale,2.53 GHz,2,Core i3-380M,,,,,,,,Gateway,NV79C54u,http://www.theverge.com/products/nv79c54u/774,,,,,,,Windows 7,640 GB,,Yes,"SD, Memory Stick, xD, MMC",,,,HDD (Unspecified RPM),,,
Satellite P775,"P775-S7232, P775-S7236",harman/kardon,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics,Mainstream,Windows 7,,17.3 inches,,,,0.01 pounds,Lithium Ion (Li-Ion),4.18 hr,,48 Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1600 px,900 px,17.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics,,,,,,,,Gray / Black,,Mainstream,,0.01 pounds,,,Yes,Chiclet,6 GB,1333 MHz,,,DDR3,,,Trackpad,"DVD Super Multi, BD Combo",,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,1,1,,Intel,Sandy Bridge,2.3 GHz,2,Core i5-2410M,2.9 GHz,Intel,2 GHz,4,Sandy Bridge,Core i7-2630QM,2.9 GHz,Toshiba,Satellite P775,http://www.theverge.com/products/satellite-p775/773,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,,750 GB,,,HDD (5400RPM),,,
Satellite P755,"P755-S5260, P755-3DV20",,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics,Mainstream,Windows 7,,15.6 inches,,,,5.8 pounds,Lithium Ion (Li-Ion),6.46 hr,,48 Wh,,,,,,,,,,,,,,,,,,Optional,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,15.6 inches,LCD,,Yes,,,,1366 px,768 px,,LCD,,,,,Integrated,Intel,HD Graphics,,1 GB,Nvidia,GeForce GT 540M (3D Vision),,,,Gray / Black,,Mainstream,,5.8 pounds,,Yes,Yes,Chiclet,6 GB,1333 MHz,,,DDR3,Yes,,Trackpad,"DVD Super Multi, BD Combo",,,1,1,,,,,,,,,1,10/100,,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.3 GHz,2,Sandy Bridge,Core i5-2410M	,2.9 GHz,Toshiba,Satellite P755,http://www.theverge.com/products/satellite-p755/772,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,,750 GB,,,HDD (5400RPM),,,
Tecra R850,,,,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics,Mainstream,Windows 7,Tray-loading,15.6 inches,,,,5.29 pounds,Lithium Ion (Li-Ion),,,66 Wh,,,,,,,,,,,,,,,,,,Yes,3.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11a",,,,LED,,,,1366 px,768 px,15.6 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics,,1 GB,Intel,Radeon HD 6450M,,,,Black,,Mainstream,,5.29 pounds,,No,Yes,Standard,4 GB,1333 MHz,,,DDR3,Yes,,"Trackpad, Pointing stick",DVD Super Multi,Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,1,,1,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,Toshiba,Tecra R850,http://www.theverge.com/products/tecra-r850/770,,,,,,,Windows 7,320 GB,HDD (7200RPM),Yes,,,,,HDD (7200RPM),,,
Probook 4535s,,SRS Premium Sound,2,,,,,AMD,,,Integrated,Radeon HD 6480G,Mainstream,"Windows 7, Linux, Other",Tray-loading,15.6 inches,,1.13 inches,,5.14 pounds,Lithium Ion (Li-Ion),6 hr,Yes,47 Wh,,,,,,,,,,,,,,,Optional,,,Optional,3.0 + HS,Optional,,,Optional,,,,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,15.6 inches,LCD,,,,,,,,,,,,,,Integrated,AMD,Radeon HD 6480G,,,,,AMD,Radeon HD 6520G,,Gray,10.09 inches,Mainstream,1.13 inches,5.14 pounds,14.76 inches,,Yes,Chiclet,4 GB,1333 MHz,,2,DDR3,Yes,,Trackpad,"DVD-ROM, DVD Super Multi, BD Combo",Tray-loading,,1,1,,ExpressCard/34,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,1,1,,AMD,,1.9 GHz,2,A4-3300M,2.5 GHz,AMD,1.4 GHz,4,,A6-3400M,1.9 GHz,HP,Probook 4535s,http://www.theverge.com/products/probook-4535s/769,,,,Optional,,,"Windows 7, Linux, Other",320 GB,HDD (7200RPM),Yes,"SD, microSD, Memory Stick, MMC, MMCmicro",750 GB,,,"HDD (5400RPM), HDD (7200RPM)",,,
Satellite P745,"P745-S4250, P745-S4217, P740-ST4N01",harman/kardon,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics,Mainstream,Windows 7,,14 inches,,,,5.4 pounds,Lithium Ion (Li-Ion),5.96 hr,,48 mAh,,,,,,,,,,,,,,,,,,Optional,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,WiDi,,LED,,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics,,,,,,,,Black,,Mainstream,,5.4 pounds,,Yes,No,Chiclet,6 GB,1333 MHz,,,DDR3,,,Trackpad,DVD Super Multi,,,1,1,,,,,,,,,1,10/100,,,1,,,,,,,,,,,3,,1,,Intel,Sandy Bridge,2.3 GHz,2,Core i5-2410M,2.9 GHz,,,,,,,Toshiba,Satellite P745,http://www.theverge.com/products/satellite-p745/768,,,,,,,Windows 7,640 GB,HDD (5400RPM),Yes,,750 GB,,,HDD (5400RPM),,,
LT28,,,,,,,,Intel,,,Integrated,GMA 3150,Netbook,Windows 7 Starter,,10.1 inches,,0.94 inches,,2.65 pounds,Lithium Ion (Li-Ion),8 hr,,4400 mAh,,,,,,,,,,,,,,,,,,No,None,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,1024 px,600 px,10.1 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,GMA 3150,,,,,,,,Black,7.24 inches,Netbook,0.94 inches,2.65 pounds,10.1 inches,,,Chiclet,1 GB,1066 MHz,,1,DDR3,,,Trackpad,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,3,,1,,Intel,,1.66 GHz,,Atom N570,,Intel,1.66 GHz,1,,Atom N455,,Gateway,LT28,http://www.theverge.com/products/lt28/767,,,,,,,Windows 7 Starter,250 GB,HDD (5400RPM),Yes,"SD, Memory Stick, xD, MMC",,,,HDD (5400RPM),,,
Tecra R840,,,,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics,,Windows 7,Tray-loading,14 inches,,,,4.19 pounds,Lithium Ion (Li-Ion),7.16 min,,66 Wh,,,,,,,,,,,,,,,,,,Yes,3.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11a",,,,LED,,,,1600 px,900 px,14 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics,,1 GB,AMD,Radeon HD 6450M,,,,Black,,,,4.19 pounds,,No,No,Standard,3 GB,1333 MHz,,,DDR3,Yes,,"Trackpad, Pointing stick",DVD Super Multi,Tray-loading,,1,1,,,1,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,1,1,,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,Toshiba,Tecra R840,http://www.theverge.com/products/tecra-r840/766,,,,,,,Windows 7,320 GB,HDD (7200RPM),Yes,,,,,HDD (7200RPM),,,
LT2704u,,,,,,,,Intel,,,Integrated,GMA 3150,Netbook,Windows 7 Starter,,10.1 inches,,1.38 inches,,5.51 pounds,Lithium Ion (Li-Ion),,,4400 mAh,,,,,,,,,,,,,,,,,,No,None,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,1024 px,600 px,10.1 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,GMA 3150,,,,,,,,Black,9.59 inches,Netbook,1.38 inches,5.51 pounds,14.57 inches,,,Chiclet,1 GB,667 MHz,,1,DDR2,,,Trackpad,,,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,,,,,,,,,,,,,3,1,,Intel,,1.66 GHz,1,Atom N450,,,,,,,,Gateway,LT2704u,http://www.theverge.com/products/lt2704u/765,,,,,,,Windows 7 Starter,160 GB,HDD (5400RPM),Yes,"SD, MMC",,,,HDD (5400RPM),,,
Pavilion g6s (2011),,"Altec Lansing, SRS Premium Sound",,,,,,Intel,Sandy Bridge,,Optional,HD Graphics 3000,Budget,Windows 7,,15.6 inches,,1.43 inches,,5.5 pounds,Lithium Ion (Li-Ion),4.25 hr,Yes,6 cell,,,,,,,,,,,,,,,,,,Optional,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,1366 px,768 px,15.6 inches,LCD,,,,,,,,,,,,,,Optional,Intel,HD Graphics 3000,,1 GB,AMD,Radeon HD 6470M,,,,"Gray, Blue, Purple, Pink",9.65 inches,Budget,1.43 inches,5.5 pounds,14.72 inches,,No,Chiclet,2 GB,,6 GB,2,DDR3,,,Trackpad,"DVD Super Multi, BD Combo",,,1,1,,,,,,,,,1,10/100,,,1,,,,,,,,,,,3,,1,,Intel,Sandy Bridge,2.2 GHz,2,Core i3-2310M,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,HP,Pavilion g6s (2011),http://www.theverge.com/products/pavilion-g6s-2011/764,,,,,,,Windows 7,320 GB,HDD (5400RPM),Yes,"Other, SD",750 GB,,,"HDD (5400RPM), HDD (7200RPM)",,,
